BandName,nanometer,importance
band_384,2.301310062,0.00977015868924659
band_382,2.291290045,0.009277131023274524
band_79,0.773410022,0.008797581499965155
band_77,0.763390005,0.008758891415335077
band_376,2.261229992,0.008332375820263593
band_73,0.743350029,0.006984898877498891
band_385,2.306319952,0.006583665811832289
band_84,0.798460007,0.006552417136031121
band_380,2.281270027,0.006403482801445946
band_80,0.778419971,0.006301618856730181
band_387,2.31633997,0.006069928622693812
band_72,0.73834002,0.0055841436699708225
band_76,0.758379996,0.005310123952688657
band_270,1.730229974,0.005265384837696372
band_378,2.27125001,0.005151486634897161
band_85,0.803470016,0.00512381840189141
band_87,0.813489974,0.005104078593668992
band_377,2.266239882,0.004953409616901407
band_7,0.412719995,0.004617470602082776
band_78,0.768400013,0.004600401448717917
band_5,0.402700007,0.004550315720350153
band_386,2.31133008,0.004457279480200905
band_353,2.146009922,0.004393503666895255
band_379,2.276259899,0.004334928810832562
band_8,0.417730004,0.004328304472332523
band_91,0.833519995,0.004214232934646464
band_383,2.296299934,0.004204967995529048
band_3,0.392679989,0.004197925426560749
band_4,0.397700012,0.004148397637076936
band_6,0.407709986,0.00413442686104394
band_92,0.838530004,0.0041283388190590745
band_75,0.753369987,0.004030084513818857
band_358,2.171060085,0.004028252653815286
band_86,0.808480024,0.0040126670254867864
band_74,0.748359978,0.003961241852141252
band_13,0.442779988,0.003951006450450413
band_83,0.793449998,0.003923461756262983
band_2,0.387679994,0.003906944384151132
band_36,0.558000028,0.0038961458706743657
band_269,1.725219965,0.0038657741874331395
band_71,0.733330011,0.0038169080702275516
band_70,0.728320003,0.003815815879137147
band_365,2.206130028,0.0038033201512566723
band_10,0.427749991,0.0037431680579643137
band_374,2.251209974,0.0037257710931550762
band_372,2.24119997,0.0037094095640951242
band_96,0.85856998,0.0037087882336603083
band_9,0.422740012,0.0036526400997542578
band_34,0.547980011,0.003609289303732523
band_35,0.552990019,0.003606538635601036
band_88,0.818490028,0.0035823377767109565
band_357,2.166049957,0.0035523779721835414
band_37,0.563009977,0.003534713867514072
band_356,2.161040068,0.0035258940038323475
band_12,0.437770009,0.0035072470416904022
band_68,0.718299985,0.0034588962307467723
band_82,0.788439989,0.0034569149847601295
band_352,2.141010046,0.0034385701576704446
band_38,0.568019986,0.0033784514018152588
band_67,0.713289976,0.0033770061045243676
band_89,0.823499978,0.003375564652897077
band_1,0.382669985,0.0033344651191896404
band_30,0.527939975,0.0032883175183002662
band_39,0.573029995,0.0032854859561537945
band_32,0.537959993,0.003273652541779766
band_11,0.43276,0.0032466561866358267
band_95,0.853559971,0.0032366791633354954
band_363,2.19611001,0.0032255581978198737
band_194,1.349499941,0.003218689504078042
band_369,2.226170063,0.0031531635496258458
band_273,1.745249987,0.0031101484714023396
band_375,2.256220102,0.003105047849199102
band_112,0.938719988,0.0030889773967589206
band_94,0.848550022,0.0030743327911220146
band_69,0.723309994,0.003032028861414214
band_388,2.321350098,0.003007073810432409
band_31,0.532949984,0.002999678551236133
band_107,0.913680017,0.0029980504674553925
band_367,2.216150045,0.0029632199659037394
band_33,0.542970002,0.0029553014023072266
band_271,1.735229969,0.0029532664820676245
band_41,0.583050013,0.002952943427837247
band_394,2.351409912,0.0029524493143290374
band_426,2.511709929,0.0029472942696452155
band_381,2.286279917,0.002915116976266738
band_25,0.502889991,0.002875194850061971
band_373,2.246210098,0.0028732317303511072
band_106,0.908670008,0.0028656364859527563
band_81,0.78342998,0.0028396821527911635
band_268,1.720209956,0.0028199839546937783
band_195,1.35450995,0.002813985561346334
band_40,0.578040004,0.0028039710741107155
band_42,0.588060021,0.002782414512404104
band_149,1.124070048,0.0027755992227123556
band_17,0.462819993,0.002769437198454373
band_360,2.181080103,0.0027658182283109545
band_424,2.501689911,0.0027159544089262796
band_14,0.447789997,0.0027092781189252224
band_285,1.805369973,0.0027050504658128636
band_325,2.005749941,0.0027031822297412544
band_389,2.326359987,0.002699904830992853
band_425,2.506700039,0.0026961833314816854
band_15,0.452800006,0.0026740349883339395
band_29,0.522930026,0.0026326625013562478
band_113,0.943729997,0.0026257275391479455
band_27,0.512910008,0.0026127208676878415
band_286,1.810379982,0.0026118212692981895
band_21,0.482859999,0.0026089446397912887
band_66,0.708280027,0.002605101311918366
band_272,1.740239978,0.0025988106147056445
band_101,0.883620024,0.0025911197816198745
band_18,0.467830002,0.0025734226436593503
band_150,1.129080057,0.0025577583662536097
band_58,0.66821003,0.0025505430281412395
band_371,2.236190081,0.00254090622852023
band_361,2.186089993,0.002537922296205808
band_63,0.693260014,0.0025226458757276297
band_211,1.434659958,0.0025189869361154733
band_65,0.703279972,0.0025145792748453217
band_23,0.492879987,0.002512095296950994
band_99,0.873600006,0.0024993169510185817
band_64,0.698270023,0.0024881087619079358
band_16,0.457810014,0.0024854216875995526
band_24,0.497880012,0.0024849156348396664
band_400,2.381459951,0.0024701459270535784
band_62,0.688250005,0.0024582629766360382
band_423,2.496680021,0.002457520766596865
band_370,2.231179953,0.0024486044264199415
band_209,1.424649954,0.0024456170362928235
band_20,0.47784999,0.0024449261530200246
band_61,0.683239996,0.0024397740636191586
band_22,0.487870008,0.002439052236619245
band_93,0.843540013,0.0024378590721007916
band_207,1.414630055,0.002437614591596415
band_111,0.933709979,0.0024346071230326467
band_287,1.815389991,0.0024233543429282764
band_151,1.134089947,0.002420975870404513
band_418,2.471630096,0.0023988500742996113
band_420,2.481650114,0.002397345508206096
band_193,1.344490051,0.002395118998843553
band_346,2.110949993,0.0023944455341528446
band_355,2.15602994,0.0023907295984569293
band_28,0.517920017,0.002385802748646885
band_208,1.419639945,0.002382954395440797
band_421,2.486660004,0.0023673927484906907
band_266,1.710190058,0.002366509525188648
band_210,1.429649949,0.002358700809256116
band_44,0.598070025,0.002357872220562199
band_368,2.221159935,0.0023568866185177113
band_288,1.8204,0.0023551708185879207
band_422,2.491669893,0.00234881939894104
band_354,2.15102005,0.0023411825842591092
band_326,2.010760069,0.002329750182461037
band_148,1.11906004,0.002327349012749303
band_327,2.015769958,0.002326596180686695
band_43,0.593069971,0.002324023104913743
band_59,0.673219979,0.002315918896869492
band_60,0.678229988,0.002314533794831913
band_304,1.900550008,0.0023129822377879593
band_279,1.77531004,0.0023088454527309776
band_419,2.476639986,0.002293653327061103
band_315,1.955649972,0.0022922477702019143
band_317,1.96566999,0.0022823212004214207
band_48,0.618110001,0.0022793888289843194
band_105,0.903659999,0.002262799305565287
band_26,0.5079,0.002261293293277418
band_116,0.958760023,0.0022582635508212995
band_290,1.830420017,0.0022510722204293642
band_46,0.608089983,0.0022500155442463626
band_303,1.895539999,0.002246288277250605
band_206,1.409620047,0.0022452924683772023
band_312,1.940619946,0.00223998480980085
band_414,2.451600075,0.0022375561208842383
band_316,1.960659981,0.0022266367726995876
band_302,1.89052999,0.0022247718851245877
band_324,2.000740051,0.0022234268114672594
band_417,2.466619968,0.002220193504751437
band_349,2.1259799,0.0022201371570074384
band_313,1.945629954,0.0022135066301661854
band_311,1.93561995,0.0022107284582474547
band_47,0.613099992,0.0022029764847717142
band_19,0.472840011,0.0021983490551138983
band_212,1.439669967,0.0021972878551367635
band_50,0.628130019,0.0021952483236227804
band_57,0.663200021,0.00219482956843581
band_413,2.446589947,0.0021926486778989867
band_205,1.404610038,0.002191260440782396
band_213,1.444679976,0.0021907921058043063
band_416,2.461610079,0.0021826767670026274
band_284,1.800359964,0.0021806082511922286
band_267,1.715199947,0.002172123892798662
band_289,1.825410008,0.0021718020564829525
band_55,0.653180003,0.0021702723027328817
band_280,1.780320048,0.002166181777454452
band_154,1.149119973,0.00215988868224915
band_204,1.399600029,0.0021576492348212
band_102,0.888629973,0.0021570175997680315
band_276,1.760280013,0.0021532208035641817
band_153,1.144109964,0.0021515961248541084
band_310,1.930609941,0.002148878601454229
band_314,1.950639963,0.002146747465972248
band_200,1.379559994,0.0021313326277701593
band_202,1.389580011,0.0021275680287073696
band_265,1.705180049,0.0021259592612891255
band_52,0.638149977,0.002120498455889481
band_109,0.923690021,0.0021203896398108253
band_203,1.39459002,0.002118147028172672
band_53,0.643159986,0.0021172997621554585
band_348,2.120970011,0.0021135439886092945
band_110,0.92869997,0.002110244664325223
band_307,1.915580034,0.0021056864475126713
band_191,1.334470034,0.002095560202826058
band_309,1.925600052,0.0020929861445173046
band_114,0.948740005,0.0020833120077656106
band_415,2.456599951,0.002083181497089388
band_301,1.885519981,0.002082843311153866
band_54,0.648169994,0.0020815558841568564
band_45,0.603079975,0.0020801939709575073
band_283,1.795349956,0.0020801004059878754
